Model,Architecture,Pearson,Spearman,MSE,MAE,R²,N Samples
Diffusion (GETRegionDiffusion),DiT-style with timestep conditioning,0.79624677,0.5877410986510684,0.0012488612,0.015524696,0.6317107379436493,36224000
Transformer (GETRegionPretrain),Standard transformer encoder,0.7817004,0.3732383042318806,0.0023480614,0.03057645,0.6109274327754974,1388115
