motif_idx,pearson_diffusion,mse_diffusion,pearson_transformer,mse_transformer,pearson_diff,mse_diff
132,0.40082008,0.0008394881,0.009642531,0.0018627621,0.39117754,0.001023274
133,0.6502191,3.0606814e-05,0.11774054,7.2721166e-05,0.5324786,4.2114352e-05
134,0.2797497,0.0006682167,0.0571871,0.0013336366,0.2225626,0.0006654199
135,0.68664825,0.0010172374,0.14162499,0.0020058858,0.54502326,0.0009886484
136,0.70303607,0.00061669876,0.13521981,0.001194735,0.56781626,0.0005780363
137,0.46469095,0.0021853973,0.10329579,0.0044736797,0.36139518,0.0022882824
138,0.40318805,0.00066262577,0.078194484,0.0012545609,0.32499355,0.0005919351
139,0.571192,0.00075576315,0.147762,0.0012835672,0.42343003,0.000527804
140,0.7183025,0.00040977102,0.17731623,0.00076885783,0.54098624,0.00035908681
141,0.65464914,0.0023064013,0.1968674,0.0042011533,0.45778173,0.001894752
142,0.47630835,0.0026865548,0.15067837,0.004233948,0.32562998,0.0015473932
143,0.67190033,0.0011419649,0.12887073,0.002165682,0.5430296,0.001023717
144,0.33620745,0.0013344953,0.06174691,0.0025848816,0.27446055,0.0012503864
145,0.45242998,0.00077515515,0.091149345,0.0015452618,0.36128062,0.0007701067
146,0.67591643,6.858621e-05,0.18263347,0.00015297439,0.49328297,8.438818e-05
147,0.3643575,0.0011321149,0.061931077,0.0021958856,0.30242643,0.0010637707
148,0.31258458,0.0005522178,0.028136533,0.0011713862,0.28444806,0.0006191684
149,0.16825631,0.001337333,0.0052089556,0.002050969,0.16304736,0.00071363605
150,0.5773853,0.00136758,0.05512193,0.002725941,0.5222634,0.0013583609
151,0.3119411,0.0016299045,0.02484494,0.003684225,0.28709614,0.0020543206
152,0.2319313,0.0018900426,0.007037461,0.004171535,0.22489384,0.0022814923
153,0.25786656,0.0037838998,0.040283266,0.006865302,0.2175833,0.0030814023
154,0.33804405,0.0014610512,0.111671895,0.0020613733,0.22637215,0.00060032215
155,0.45555556,0.0010104491,0.16287842,0.0020552697,0.29267713,0.0010448205
156,0.49984497,0.00017137041,0.1242697,0.00029433108,0.37557527,0.00012296067
157,0.20427197,0.00070003665,0.04792762,0.0015522711,0.15634435,0.0008522344
158,0.56907207,0.0003069717,0.13741189,0.00053866225,0.43166018,0.00023169056
159,0.2578472,0.0014003874,0.018963646,0.0031941957,0.23888354,0.0017938083
160,0.2975902,0.00043919505,0.031005183,0.000762802,0.26658502,0.00032360698
161,0.21779768,0.00030339503,0.0790169,0.00061370234,0.13878077,0.0003103073
162,0.47603357,0.0011654168,0.08749217,0.002191694,0.3885414,0.0010262772
163,0.57088774,0.0014144799,0.17911199,0.0019873225,0.39177576,0.00057284255
164,0.51252055,2.8832936e-05,0.13920078,6.524727e-05,0.37331977,3.6414338e-05
165,0.43156326,2.1929329e-05,0.12819463,5.04215e-05,0.30336863,2.849217e-05
166,0.33739647,0.0011624029,0.10799662,0.0031014397,0.22939986,0.0019390368
167,0.44885087,2.8492042e-05,0.046684157,6.853612e-05,0.40216672,4.004408e-05
168,0.44493473,0.00030655717,0.044511355,0.0005571103,0.40042338,0.00025055313
169,0.42981002,0.0015028111,0.057742197,0.002729254,0.3720678,0.001226443
170,0.576504,0.0017906377,0.18061854,0.0032499358,0.39588547,0.0014592981
171,0.2941091,0.001378863,0.030027919,0.0028685813,0.26408118,0.0014897183
172,0.57639813,0.0015608837,0.16228788,0.0025530488,0.41411024,0.0009921651
173,0.4141157,0.0005507129,0.06614929,0.0009686771,0.3479664,0.00041796418
174,0.20359308,0.00077222555,-0.003352291,0.002073228,0.20694536,0.0013010023
175,0.6290823,0.0027403466,0.11150154,0.0049173953,0.5175808,0.0021770487
176,0.5876928,0.0015599526,0.09477618,0.0034877718,0.4929166,0.0019278192
177,0.5265268,0.0022332594,0.1662397,0.0042734914,0.36028713,0.002040232
178,0.48821104,0.0023324827,0.12082323,0.0033256204,0.3673878,0.0009931377
179,0.32557666,0.00085554726,0.029143648,0.0016765512,0.296433,0.0008210039
180,0.58353376,0.0038928897,0.15112641,0.0065013934,0.43240735,0.0026085037
181,0.5561205,0.00022482443,0.087579064,0.00027572748,0.46854144,5.090305e-05
182,0.33104607,0.00014911729,0.07504222,0.00025140174,0.25600386,0.00010228445
183,0.34307575,0.0011803673,0.042256143,0.002611246,0.3008196,0.0014308786
184,0.5162254,0.0021868707,0.017953558,0.004240257,0.49827185,0.0020533865
185,0.24042636,0.0013264472,0.033220984,0.0027783262,0.20720538,0.0014518789
186,0.716517,0.00077196024,0.17144269,0.0013317096,0.5450743,0.0005597493
187,0.39678547,0.0038851963,0.056024067,0.0074097607,0.3407614,0.0035245644
188,0.54793155,6.695673e-06,0.035298847,1.3357133e-05,0.5126327,6.66146e-06
189,0.5617372,0.00036887336,0.13262704,0.00075805857,0.42911014,0.0003891852
190,0.6451374,0.0018277148,0.1071794,0.0035571163,0.537958,0.0017294014
191,0.34164917,0.0028269645,0.10154137,0.004514418,0.2401078,0.0016874536
